image_filename,category_name,xmin,ymin,xmax,ymax,source,pair_id
004735.jpg,sling_dress,78,185,375,674,user,376
004783.jpg,long_sleeve_top,34,0,573,546,shop,381
004783.jpg,skirt,27,155,628,754,shop,381
004808.jpg,trousers,249,347,474,835,shop,383
004808.jpg,long_sleeve_outwear,202,119,499,500,shop,383
004848.jpg,long_sleeve_top,376,271,577,499,shop,387
004848.jpg,shorts,376,408,540,541,shop,387
004874.jpg,long_sleeve_outwear,225,127,602,666,shop,389
004929.jpg,trousers,389,600,698,1049,shop,396
004929.jpg,vest,233,361,551,696,shop,396
005150.jpg,long_sleeve_dress,191,2,527,732,shop,412
005154.jpg,skirt,155,423,341,635,shop,413
005154.jpg,long_sleeve_top,170,258,398,486,shop,413
005154.jpg,trousers,182,423,329,717,shop,413
005194.jpg,sling_dress,210,424,601,865,shop,418
005194.jpg,long_sleeve_top,161,402,547,687,shop,418
005208.jpg,skirt,234,551,342,655,shop,419
005208.jpg,short_sleeve_top,208,436,349,553,shop,419
005312.jpg,vest_dress,91,1,344,562,user,427
005316.jpg,vest_dress,116,160,512,773,shop,427
005478.jpg,short_sleeve_dress,23,238,375,706,shop,442
005518.jpg,trousers,135,235,369,583,shop,445
005518.jpg,sling,172,95,298,244,shop,445
005519.jpg,trousers,311,555,457,947,shop,445
005519.jpg,sling,304,390,451,584,shop,445
005522.jpg,trousers,147,598,466,932,shop,445
005522.jpg,sling,342,465,476,621,shop,445
005535.jpg,short_sleeve_dress,86,228,412,591,shop,446
005598.jpg,long_sleeve_dress,121,383,518,919,shop,451
005611.jpg,trousers,158,227,273,546,user,452
005611.jpg,long_sleeve_top,177,112,318,297,user,452
005771.jpg,skirt,222,248,478,604,shop,464
005771.jpg,vest,236,32,417,315,shop,464
005799.jpg,trousers,245,520,401,830,shop,467
005799.jpg,long_sleeve_outwear,242,310,439,702,shop,467
005874.jpg,sling_dress,140,135,301,407,shop,472
005874.jpg,short_sleeve_top,121,138,310,286,shop,472
005979.jpg,sling,2,158,454,623,user,482
005985.jpg,sling,0,41,350,467,user,482
005993.jpg,skirt,206,404,449,656,shop,482
005993.jpg,sling,287,151,498,455,shop,482
005996.jpg,shorts,136,401,324,620,shop,482
005996.jpg,sling,159,160,357,514,shop,482
005997.jpg,sling,34,262,440,701,shop,482
006015.jpg,trousers,139,48,358,597,shop,483
006015.jpg,long_sleeve_top,91,0,404,96,shop,483
006072.jpg,short_sleeve_outwear,235,152,510,484,shop,488
006072.jpg,trousers,143,354,435,772,shop,488
006150.jpg,long_sleeve_top,163,0,452,67,shop,496
006150.jpg,trousers,174,29,418,518,shop,496
006209.jpg,vest_dress,1,79,71,205,user,501
006209.jpg,short_sleeve_dress,46,154,299,399,user,501
006343.jpg,vest_dress,214,327,610,744,shop,515
006348.jpg,vest_dress,277,228,597,657,shop,515
006356.jpg,long_sleeve_top,0,296,418,623,user,516
006373.jpg,shorts,381,542,579,715,shop,516
006373.jpg,long_sleeve_top,295,336,587,633,shop,516
006448.jpg,sling,30,2,446,467,user,526
006449.jpg,sling,7,1,611,467,user,526
006450.jpg,shorts,18,366,411,621,user,526
006450.jpg,sling,62,0,466,419,user,526
006451.jpg,sling,0,34,466,571,user,526
006455.jpg,shorts,392,308,687,440,shop,526
006455.jpg,sling,318,29,610,401,shop,526
006458.jpg,shorts,255,272,514,457,shop,526
006458.jpg,sling,196,30,439,321,shop,526
006459.jpg,sling,134,174,513,597,shop,526
006461.jpg,skirt,267,374,502,628,shop,526
006461.jpg,sling,298,137,515,368,shop,526
006494.jpg,sling_dress,186,206,521,671,shop,530
006506.jpg,skirt,349,369,530,534,shop,531
006506.jpg,vest,425,244,527,383,shop,531
006510.jpg,skirt,376,412,534,601,shop,531
006510.jpg,vest,388,261,547,434,shop,531
006513.jpg,skirt,267,310,494,584,shop,531
006513.jpg,vest,314,183,471,325,shop,531
006517.jpg,skirt,374,301,511,497,shop,531
006517.jpg,vest,420,238,503,318,shop,531
006556.jpg,sling_dress,124,32,335,550,shop,533
006595.jpg,long_sleeve_dress,157,198,658,871,shop,538
006641.jpg,vest_dress,190,257,291,454,user,543
006656.jpg,short_sleeve_outwear,7,17,466,671,user,544
006657.jpg,short_sleeve_outwear,0,218,404,623,user,544
006658.jpg,short_sleeve_outwear,0,0,467,367,user,544
006659.jpg,trousers,101,264,243,465,user,544
006659.jpg,short_sleeve_outwear,35,0,267,412,user,544
006699.jpg,long_sleeve_top,327,0,563,207,shop,546
006699.jpg,trousers,260,128,538,928,shop,546
006728.jpg,long_sleeve_dress,113,67,274,368,user,549
006759.jpg,vest_dress,214,312,490,855,shop,550
006808.jpg,skirt,295,219,467,661,shop,556
006808.jpg,long_sleeve_top,32,36,467,680,shop,556
006811.jpg,long_sleeve_dress,76,165,400,439,user,557
006811.jpg,long_sleeve_dress,1,461,357,841,user,557
006874.jpg,shorts,104,429,409,723,shop,563
006874.jpg,long_sleeve_outwear,60,29,585,866,shop,563
006878.jpg,shorts,54,440,430,727,shop,563
006878.jpg,long_sleeve_outwear,29,31,564,877,shop,563
006919.jpg,long_sleeve_dress,59,171,370,664,shop,565
006948.jpg,trousers,249,482,413,808,shop,568
006948.jpg,sling,249,334,381,526,shop,568
006952.jpg,trousers,258,461,366,809,shop,568
006952.jpg,sling,239,320,369,533,shop,568
006954.jpg,sling,262,309,388,505,shop,568
006954.jpg,trousers,268,447,391,810,shop,568
006966.jpg,skirt,217,502,485,696,shop,570
006966.jpg,long_sleeve_outwear,133,200,574,600,shop,570
007018.jpg,skirt,61,565,642,1075,shop,575
007018.jpg,long_sleeve_top,183,324,579,741,shop,575
007019.jpg,skirt,92,438,559,778,shop,575
007019.jpg,long_sleeve_top,220,264,473,542,shop,575
007026.jpg,long_sleeve_top,242,353,564,747,shop,575
007026.jpg,skirt,271,572,569,1063,shop,575
007033.jpg,skirt,294,430,749,642,shop,575
007033.jpg,long_sleeve_top,143,256,583,574,shop,575
007054.jpg,vest_dress,175,331,565,1142,shop,576
007075.jpg,shorts,51,524,377,701,shop,578
007075.jpg,long_sleeve_top,30,220,456,567,shop,578
007106.jpg,short_sleeve_dress,97,155,426,560,shop,581
007111.jpg,short_sleeve_dress,0,0,160,186,user,582
007117.jpg,long_sleeve_outwear,243,169,570,559,shop,583
007153.jpg,skirt,3,483,329,814,shop,584
007153.jpg,long_sleeve_outwear,77,234,374,622,shop,584
007174.jpg,vest_dress,21,0,388,623,user,586
007221.jpg,short_sleeve_dress,92,200,375,609,shop,587
007221.jpg,long_sleeve_outwear,16,189,402,652,shop,587
007254.jpg,skirt,180,169,270,261,user,588
007254.jpg,short_sleeve_top,193,85,273,177,user,588
007279.jpg,skirt,308,372,467,612,shop,589
007279.jpg,vest,291,196,443,406,shop,589
007355.jpg,shorts,84,191,179,286,user,594
007355.jpg,vest,55,105,154,220,user,594
007370.jpg,short_sleeve_top,361,162,545,375,shop,595
007370.jpg,sling_dress,353,169,542,536,shop,595
007464.jpg,trousers,254,454,415,815,shop,602
007464.jpg,short_sleeve_top,240,245,460,488,shop,602
007521.jpg,vest_dress,121,230,448,663,shop,606
007543.jpg,skirt,317,664,638,921,shop,607
007543.jpg,vest,197,377,516,741,shop,607
007543.jpg,short_sleeve_dress,513,183,638,640,shop,607
007616.jpg,trousers,212,764,565,1023,shop,614
007616.jpg,long_sleeve_top,122,357,566,915,shop,614
007627.jpg,short_sleeve_top,74,0,580,318,shop,615
007627.jpg,shorts,42,231,614,749,shop,615
007725.jpg,trousers,308,306,474,469,shop,624
007725.jpg,long_sleeve_top,265,120,507,423,shop,624
007836.jpg,short_sleeve_dress,55,56,453,649,shop,632
007906.jpg,long_sleeve_top,22,0,310,256,shop,640
007906.jpg,trousers,140,34,417,542,shop,640
008018.jpg,skirt,258,304,475,633,shop,652
008018.jpg,short_sleeve_top,173,147,424,322,shop,652
008221.jpg,long_sleeve_top,0,271,467,623,user,669
008348.jpg,trousers,334,419,461,815,shop,678
008348.jpg,short_sleeve_top,308,192,461,547,shop,678
008359.jpg,vest_dress,238,211,511,720,shop,679
008363.jpg,short_sleeve_dress,135,172,358,660,shop,680
008437.jpg,long_sleeve_top,406,0,639,245,shop,684
008437.jpg,trousers,230,156,601,824,shop,684
008439.jpg,short_sleeve_outwear,4,26,386,253,user,685
008440.jpg,short_sleeve_outwear,0,0,399,299,user,685
008441.jpg,short_sleeve_outwear,180,323,481,658,shop,685
008441.jpg,vest_dress,205,332,439,943,shop,685
008445.jpg,vest_dress,200,253,487,940,shop,685
008445.jpg,short_sleeve_outwear,149,246,534,618,shop,685
008446.jpg,vest_dress,230,148,415,530,shop,685
008446.jpg,short_sleeve_outwear,174,145,465,396,shop,685
008447.jpg,vest_dress,197,249,496,903,shop,685
008447.jpg,short_sleeve_outwear,152,253,561,715,shop,685
008449.jpg,short_sleeve_outwear,113,251,530,611,shop,685
008449.jpg,vest_dress,170,248,434,902,shop,685
008574.jpg,sling,348,466,550,676,shop,695
008574.jpg,trousers,150,606,479,1100,shop,695
008644.jpg,long_sleeve_outwear,1,357,648,873,shop,700
008748.jpg,sling,287,133,363,196,shop,708
008748.jpg,skirt,280,202,433,351,shop,708
008749.jpg,sling,286,163,388,255,shop,708
008749.jpg,skirt,260,263,406,529,shop,708
008753.jpg,sling,283,93,348,158,shop,708
008753.jpg,skirt,263,161,358,364,shop,708
008756.jpg,skirt,257,321,459,528,shop,708
008756.jpg,sling,280,205,399,326,shop,708
008761.jpg,skirt,280,197,374,386,shop,708
008761.jpg,sling,288,129,353,184,shop,708
008817.jpg,skirt,2,330,467,623,user,715
008817.jpg,short_sleeve_top,0,15,467,399,user,715
008855.jpg,trousers,310,336,638,902,shop,716
008855.jpg,short_sleeve_top,360,11,717,394,shop,716
008861.jpg,shorts,253,192,454,336,user,717
008861.jpg,vest,113,2,388,259,user,717
008882.jpg,short_sleeve_top,0,23,465,624,user,718
008958.jpg,vest_dress,223,129,586,613,shop,724
008975.jpg,long_sleeve_dress,293,27,465,453,shop,725
009065.jpg,long_sleeve_dress,75,276,560,919,shop,730
009066.jpg,long_sleeve_dress,121,270,533,884,shop,730
009178.jpg,short_sleeve_dress,142,101,372,411,user,741
009277.jpg,skirt,229,556,549,896,shop,747
009277.jpg,long_sleeve_top,163,309,453,644,shop,747
009326.jpg,skirt,270,484,649,1012,shop,753
009326.jpg,long_sleeve_top,288,276,542,630,shop,753
009344.jpg,shorts,149,347,410,598,user,755
009344.jpg,short_sleeve_top,0,27,467,489,user,755
009347.jpg,long_sleeve_top,771,458,846,556,shop,755
009347.jpg,shorts,788,532,872,621,shop,755
009347.jpg,long_sleeve_top,327,587,583,897,shop,755
009347.jpg,shorts,417,812,651,1084,shop,755
009368.jpg,long_sleeve_dress,89,7,383,573,user,757
009451.jpg,long_sleeve_top,236,191,416,547,shop,764
009451.jpg,skirt,227,422,437,884,shop,764
009504.jpg,long_sleeve_dress,1,146,466,627,user,767
009580.jpg,vest_dress,153,20,561,732,shop,772
009674.jpg,short_sleeve_outwear,0,2,466,624,user,782
009684.jpg,vest_dress,16,40,394,621,user,783
009780.jpg,trousers,179,681,469,959,shop,789
009780.jpg,short_sleeve_top,136,385,464,738,shop,789
009855.jpg,trousers,342,227,560,558,shop,795
009855.jpg,long_sleeve_outwear,294,0,583,531,shop,795
009973.jpg,trousers,401,398,564,565,shop,804
009973.jpg,vest,369,192,537,465,shop,804
010124.jpg,trousers,177,568,524,1029,shop,816
010124.jpg,short_sleeve_top,116,371,374,693,shop,816
010130.jpg,short_sleeve_dress,0,196,467,701,shop,817
010214.jpg,long_sleeve_top,0,312,466,624,user,823
010220.jpg,long_sleeve_top,0,63,467,312,user,823
010256.jpg,shorts,241,335,422,473,shop,827
010256.jpg,vest,206,233,344,390,shop,827
010416.jpg,trousers,88,636,465,959,shop,837
010416.jpg,short_sleeve_top,90,289,566,679,shop,837
010471.jpg,shorts,159,453,565,642,shop,839
010471.jpg,short_sleeve_top,63,27,566,597,shop,839
010484.jpg,vest,160,393,428,805,shop,840
010532.jpg,short_sleeve_top,269,485,587,784,shop,842
010532.jpg,skirt,407,699,798,1005,shop,842
010562.jpg,sling_dress,0,1,299,399,user,845
010562.jpg,short_sleeve_top,72,0,299,318,user,845
010567.jpg,long_sleeve_top,38,13,573,611,shop,845
010567.jpg,sling_dress,109,18,549,695,shop,845
010658.jpg,short_sleeve_top,241,1,748,510,shop,853
010658.jpg,shorts,201,362,559,668,shop,853
010685.jpg,long_sleeve_dress,216,177,527,639,shop,854
010701.jpg,short_sleeve_top,140,0,254,67,user,855
010701.jpg,shorts,144,55,237,151,user,855
010768.jpg,sling_dress,136,273,256,502,user,862
010768.jpg,short_sleeve_top,116,267,304,426,user,862
010785.jpg,sling_dress,178,81,398,432,shop,862
010785.jpg,long_sleeve_top,145,79,373,296,shop,862
010814.jpg,trousers,226,505,464,930,shop,865
010814.jpg,short_sleeve_top,257,229,583,615,shop,865
010859.jpg,skirt,196,523,640,930,shop,868
010859.jpg,long_sleeve_top,199,215,524,553,shop,868
011022.jpg,skirt,192,459,769,1055,shop,876
011022.jpg,long_sleeve_top,91,0,717,752,shop,876
011036.jpg,trousers,231,433,405,881,shop,878
011036.jpg,short_sleeve_top,193,221,436,496,shop,878
011039.jpg,short_sleeve_dress,56,72,306,518,user,879
011068.jpg,vest,0,44,466,578,user,881
011079.jpg,shorts,301,316,601,534,shop,881
011079.jpg,vest,186,27,531,429,shop,881
011133.jpg,vest_dress,0,0,466,831,user,885
011145.jpg,vest_dress,75,63,272,515,user,885
011194.jpg,shorts,329,347,512,522,shop,890
011194.jpg,short_sleeve_top,324,167,567,408,shop,890
011220.jpg,skirt,83,430,318,701,shop,892
011220.jpg,long_sleeve_top,108,205,392,538,shop,892
011241.jpg,shorts,97,256,442,605,user,897
011241.jpg,sling,133,24,383,288,user,897
011249.jpg,shorts,177,196,391,426,shop,897
011249.jpg,sling,250,0,477,256,shop,897
011276.jpg,long_sleeve_dress,270,27,560,508,shop,900
011346.jpg,long_sleeve_dress,38,0,467,573,user,904
011387.jpg,short_sleeve_dress,273,199,432,482,shop,908
011433.jpg,shorts,222,471,400,592,shop,913
011433.jpg,vest,206,240,400,487,shop,913
011492.jpg,skirt,263,413,569,706,shop,917
011492.jpg,short_sleeve_top,244,173,531,453,shop,917
011513.jpg,trousers,160,341,308,657,user,919
011513.jpg,long_sleeve_top,89,152,370,404,user,919
011527.jpg,short_sleeve_outwear,0,30,467,622,user,921
011630.jpg,shorts,168,444,394,643,shop,929
011630.jpg,short_sleeve_top,65,188,395,472,shop,929
011712.jpg,long_sleeve_top,328,429,542,612,shop,940
011712.jpg,shorts,374,569,555,738,shop,940
011736.jpg,vest,19,245,417,623,user,942
011752.jpg,long_sleeve_dress,120,28,503,626,shop,944
011874.jpg,long_sleeve_outwear,251,3,637,262,shop,956
011874.jpg,trousers,136,51,556,827,shop,956
011877.jpg,sling,90,93,500,596,shop,957
011879.jpg,sling,36,77,467,701,shop,957
011880.jpg,sling,43,87,467,701,shop,957
011882.jpg,trousers,40,536,427,701,shop,957
011882.jpg,sling,56,6,467,624,shop,957
011888.jpg,sling,202,403,448,649,shop,957
011913.jpg,shorts,116,375,407,623,shop,960
011913.jpg,long_sleeve_top,81,5,419,497,shop,960
012054.jpg,trousers,80,110,184,276,user,969
012054.jpg,short_sleeve_top,56,0,197,149,user,969
012105.jpg,shorts,268,497,468,749,shop,974
012105.jpg,long_sleeve_outwear,202,276,470,760,shop,974
012196.jpg,trousers,491,389,612,629,shop,982
012196.jpg,short_sleeve_top,459,271,600,417,shop,982
012201.jpg,trousers,78,2,366,629,shop,983
012208.jpg,short_sleeve_top,351,256,503,448,shop,984
012208.jpg,skirt,288,402,493,756,shop,984
012256.jpg,trousers,143,533,464,698,shop,989
012256.jpg,short_sleeve_top,9,189,408,642,shop,989
012306.jpg,shorts,92,342,344,613,user,993
012306.jpg,vest,100,42,351,369,user,993
012320.jpg,skirt,224,304,381,464,shop,994
012320.jpg,long_sleeve_outwear,219,157,422,464,shop,994
012437.jpg,trousers,95,7,404,607,user,1005
012469.jpg,skirt,245,303,492,826,shop,1008
012469.jpg,long_sleeve_top,199,148,517,436,shop,1008
012478.jpg,sling_dress,214,187,568,763,shop,1009
012478.jpg,short_sleeve_top,250,167,597,532,shop,1009
012503.jpg,shorts,205,418,404,563,shop,1011
012503.jpg,short_sleeve_top,166,208,424,497,shop,1011
012671.jpg,trousers,63,686,517,1318,shop,1026
012671.jpg,short_sleeve_top,242,358,701,914,shop,1026
012689.jpg,trousers,212,177,411,668,shop,1028
012689.jpg,long_sleeve_top,213,56,454,205,shop,1028
012709.jpg,trousers,344,138,549,640,shop,1028
012709.jpg,long_sleeve_top,300,13,548,150,shop,1028
012786.jpg,vest_dress,288,259,454,670,shop,1034
012821.jpg,shorts,187,722,447,914,shop,1036
012821.jpg,sling,145,305,452,849,shop,1036
012822.jpg,shorts,149,656,461,950,shop,1036
012822.jpg,sling,99,340,440,804,shop,1036
012834.jpg,shorts,143,719,474,914,shop,1036
012834.jpg,sling,141,301,474,868,shop,1036
012932.jpg,shorts,80,415,405,599,shop,1042
012932.jpg,long_sleeve_outwear,0,0,434,567,shop,1042
012986.jpg,vest_dress,199,149,487,798,shop,1046
013008.jpg,vest_dress,340,159,639,508,shop,1046
013008.jpg,vest_dress,0,151,302,508,shop,1046
013090.jpg,skirt,121,68,290,264,user,1054
013090.jpg,vest,144,1,299,88,user,1054
013149.jpg,long_sleeve_dress,217,157,533,739,shop,1059
013239.jpg,short_sleeve_dress,4,0,413,620,user,1065
013281.jpg,long_sleeve_outwear,173,0,438,279,shop,1068
013281.jpg,trousers,246,70,414,559,shop,1068
013383.jpg,vest_dress,142,4,380,438,user,1076
013383.jpg,long_sleeve_outwear,83,1,416,530,user,1076
013475.jpg,vest,262,602,535,971,shop,1083
013475.jpg,shorts,243,900,528,1164,shop,1083
013523.jpg,shorts,227,382,476,597,shop,1087
013523.jpg,long_sleeve_outwear,277,150,545,521,shop,1087
013539.jpg,sling_dress,232,1,538,452,shop,1089
